cluster_id,cluster_ip,cluster_name,env,filename,jobtype,message
"2022-04-04T05:58:41Z {cluster_id=""0403-140353-mbr6resj"""," cluster_ip=""10.75.92.107"""," cluster_name=""job-2150-run-863310"""," env=""prod"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""} 2022-04-04T05:58:41.055: tableRecordCount for cem_invlod_hist is 18"
"2022-04-04T05:58:36Z {cluster_id=""0403-140353-mbr6resj"""," cluster_ip=""10.75.92.107"""," cluster_name=""job-2150-run-863310"""," env=""prod"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""} 2022-04-04T05:58:36.782: tableRecordCount for cem_rcvlin is 114"
"2022-04-04T05:58:35Z {cluster_id=""0403-140353-mbr6resj"""," cluster_ip=""10.75.92.107"""," cluster_name=""job-2150-run-863310"""," env=""prod"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""} 2022-04-04T05:58:35.621: tableRecordCount for cem_stop is 3"
"2022-04-04T05:58:34Z {cluster_id=""0403-140353-mbr6resj"""," cluster_ip=""10.75.92.107"""," cluster_name=""job-2150-run-863310"""," env=""prod"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""} 2022-04-04T05:58:34.344: tableRecordCount for cem_ord is 1"
"2022-04-04T05:58:16Z {cluster_id=""0324-132434-zt4x9cgk"""," cluster_ip=""10.75.84.7"""," cluster_name=""job-237-run-86985"""," env=""qa"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}       2022-04-04T05:58:16.105: tableRecordCount for mmo_job_definition_exec is 183"
"2022-04-04T05:58:16Z {cluster_id=""0324-132434-zt4x9cgk"""," cluster_ip=""10.75.84.7"""," cluster_name=""job-237-run-86985"""," env=""qa"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}       2022-04-04T05:58:15.983: tableRecordCount for atl_eban is 82"
"2022-04-04T05:58:16Z {cluster_id=""0324-132434-zt4x9cgk"""," cluster_ip=""10.75.84.7"""," cluster_name=""job-237-run-86985"""," env=""qa"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}       2022-04-04T05:58:15.982: tableRecordCount for elm_s_sample is 3"
"2022-04-04T05:58:15Z {cluster_id=""0324-132434-zt4x9cgk"""," cluster_ip=""10.75.84.7"""," cluster_name=""job-237-run-86985"""," env=""qa"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}       2022-04-04T05:58:15.768: tableRecordCount for mmo_pckbat is 4"
"2022-04-04T05:58:05Z {cluster_id=""0324-132434-zt4x9cgk"""," cluster_ip=""10.75.84.7"""," cluster_name=""job-237-run-86985"""," env=""qa"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}       2022-04-04T05:58:04.963: tableRecordCount for elm_u_lot is 1"
"2022-04-04T05:58:01Z {cluster_id=""0324-132434-zt4x9cgk"""," cluster_ip=""10.75.84.7"""," cluster_name=""job-237-run-86985"""," env=""qa"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}       2022-04-04T05:58:01.678: tableRecordCount for elm_sdidata is 4"
"2022-04-04T05:55:08Z {cluster_id=""0403-181948-a59u0hyg"""," cluster_ip=""10.75.92.58"""," cluster_name=""job-2000-run-864721"""," env=""prod"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}  2022-04-04T05:55:08.798: tableRecordCount for cla_linp is 75"
"2022-04-04T05:55:08Z {cluster_id=""0403-181948-a59u0hyg"""," cluster_ip=""10.75.92.58"""," cluster_name=""job-2000-run-864721"""," env=""prod"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}  2022-04-04T05:55:08.710: tableRecordCount for mrc_qals is 62"
"2022-04-04T05:55:08Z {cluster_id=""0403-181948-a59u0hyg"""," cluster_ip=""10.75.92.58"""," cluster_name=""job-2000-run-864721"""," env=""prod"""," filename=""/databricks/driver/logs/stdout"""," job=""spark"""," node_type=""driver""}  2022-04-04T05:55:08.700: tableRecordCount for pda_eket is 3"
